"피난처 ID","시도명","시군구명","시설명","상세주소","시설면적","경도","위도","구분","구분명","관리부서"
"1","서울특별시","동작구","동작고등학교 운동장","서울특별시 동작구 솔밭로 51(사당동)","3246.0","126.9655","37.482","1","지진실내구호소","070-4629-6407"
"2","서울특별시","동작구","동작초등학교 운동장","서울특별시 동작구 동작대로29길 214(사당동)","2763.0","126.9768","37.494","1","지진실내구호소","02-537-1773"
"3","서울특별시","도봉구","창림초등학교 운동장","서울특별시 도봉구 덕릉로63길 46(창동)","2584.0","127.0417","37.6431","1","지진실내구호소","02-2091-5718"
"4","서울특별시","도봉구","창원초등학교 운동장","서울특별시 도봉구 해등로 103(창동)","2704.0","127.0407","37.6521","1","지진실내구호소","02-2091-5779"
"5","서울특별시","도봉구","창일중학교 운동장","서울특별시 도봉구 노해로66길 60(창동)","4800.0","127.0471","37.6484","1","지진실내구호소","02-2091-5678"
"6","서울특별시","도봉구","갈대밭어린이공원","서울특별시 도봉구 도봉동 625-123","433.0","127.0457","37.6743","1","지진실내구호소","02-2091-5830"
"7","서울특별시","도봉구","누원어린이공원","서울특별시 도봉구 도봉동 653","400.0","127.05","37.6803","1","지진실내구호소","02-2091-5830"
"8","서울특별시","도봉구","무수어린이공원","서울특별시 도봉구 도봉동 585-2","350.0","127.0426","37.6805","1","지진실내구호소","02-2091-5806"
"9","서울특별시","도봉구","무지개어린이공원","서울특별시 도봉구 도봉동 570-13","385.0","127.045","37.6856","1","지진실내구호소","02-2091-5806"
"10","서울특별시","도봉구","새동네어린이공원","서울특별시 도봉구 도봉동 289-5","670.0","127.0431","37.6889","1","지진실내구호소","02-2091-5806"
"11","서울특별시","도봉구","서원어린이공원","서울특별시 도봉구 도봉동 576-13","355.0","127.0432","37.6838","1","지진실내구호소","02-2091-5806"
"12","서울특별시","도봉구","해태어린이공원","서울특별시 도봉구 도봉동 614-37","458.0","127.0411","37.672","1","지진실내구호소","02-2091-5806"
"13","서울특별시","도봉구","누원고등학교 운동장","서울특별시 도봉구 마들로 849(도봉동)","400.0","127.0506","37.6849","1","지진실내구호소","02-2091-5830"
"14","서울특별시","도봉구","도봉중학교 운동장","서울특별시 도봉구 마들로 671(도봉동)","3184.0","127.0455","37.6701","1","지진실내구호소","02-2091-5830"
"15","서울특별시","도봉구","북서울중학교 운동장","서울특별시 도봉구 도봉로169가길 33(도봉동)","2029.0","127.043","37.6811","1","지진실내구호소","02-2091-5806"
"16","서울특별시","도봉구","오봉초등학교 운동장","서울특별시 도봉구 시루봉로 285(도봉동)","1704.0","127.0404","37.6714","1","지진실내구호소","02-2091-5806"
"17","서울특별시","노원구","한내근린공원","서울특별시 노원구 월계동 1-1","1740.0","127.0694","37.6221","1","지진실내구호소","02-2116-3974"
"18","서울특별시","노원구","광운전자공업고등학교 운동장","서울특별시 노원구 월계동 500-0","9540.0","127.0561","37.6201","1","지진실내구호소","02-918-7763"
"19","서울특별시","노원구","녹천중학교 운동장","서울특별시 노원구 월계로 376(월계동)","4670.0","127.0623","37.631","1","지진실내구호소","02-978-4521"
